Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
children.button.relationshipAriaLabel,Relationship to child - Help Tip,Relasyon ak timoun nan - Èd,Отношения с ребенком - Подсказка,与子女的关系 - 帮助提示,자녀와의 관계 - 도움말,Mối quan hệ với trẻ - Mẹo Trợ Giúp,Parentesco con el hijo - de ayuda,與子女的關係 —— 說明提示
children.button.studentAriaLabel,Child student - Help Tip,Elèv - Èd,Ребенок-студент - Подсказка,子女学生 - 帮助提示,학생 자녀 - 도움말,Trẻ là học sinh/sinh viên - Mẹo Trợ Giúp,El hijo es un estudiante - Consejo de ayuda,子女學生 —— 說明提示
children.button.us50PercentAriaLabel,Main home in U.S. - Help Tip,Rezidans prensipal Ozetazini - Èd,Основной дом в США - Подсказка,主要居所位于美国 - 帮助提示,주요 거주지 - 도움말,Nhà chính ở Hoa Kỳ - Mẹo Trợ Giúp,Hogar principal en los Estados Unidos - Consejo de ayuda,美國的主要住宅 —— 說明提示
children.button.validSSNAriaLabel,Child SSN - Help Tip,,,,,,hijo seguro social - Consejo de ayuda,
children.button.youngerAriaLabel,Child younger - Help Tip,Timoun pi jèn - Ed,Младший ребенок - Подсказка,年龄较小的子女 - 帮助提示,어린 자녀 -도움말,Trẻ ít tuổi hơn - Mẹo Trợ Giúp,Hijo más joven - Consejo de ayuda,較年幼的子女 —— 說明提示
children.h2.additionalInfo,Additional Information,Enfòmasyon adisyonèl,Дополнительная информация,附加信息,추가 정보,Thông Tin Bổ Sung,Información adicional,其他資訊
children.h2.ageBlockTitle,"Based on your inputs, :num might be qualifying children.","Konsideran antre ou yo, :num kapab  yon timoun elijib.","Исходя из ваших данных, :num может быть отвечающим требованиям ребенком.",根据您的输入，:num 可能为符合条件的子女。,귀하의 입력에 따르면 :num명이 적격 자녀가 될 수 있습니다.,"Dựa trên thông tin đầu vào mà quý vị cung cấp, : num có thể là trẻ đủ điều kiện.","Según la información que proporcionó, :num puede ser un hijo que reúne los requisitos.",根據您的填入的資訊， :num 可能是合格的子女。
children.h2.ageBlockTitleSingle,"Based on your inputs, the :num might be a qualifying child.","Konsideran antre ou yo, :num kapab yon timoun elijib.","Исходя из ваших данных, :num может быть отвечающим требованиям ребенком.",根据您的输入，:num 可能为符合条件的子女。,귀하의 입력에 따르면 :num명이 적격 자녀가 될 수 있습니다.,"Dựa trên thông tin đầu vào mà quý vị cung cấp, : num có thể là trẻ đủ điều kiện.","Según la información que proporcionó, el :num puede ser un hijo que reúne los requisitos.",根據您的填入的資訊， :num 可能是合格的子女。
children.h2.claimOtherConfirmTT,Claimed on Someone Else's Tax Return,Reklame sou deklarasyon taks yon lòt moun,Заявлено в чужой налоговой декларации,在其他人的报税表上进行了申报,누군가 다른 사람의 세금 신고서에 신청된,Được Kê Khai trên Tờ Khai Thuế Của Người Khác,Reclamado en la declaración de impuestos de alguien más,已在他人的報稅表上申領
children.h2.claimOtherTT,Claimed on Someone Else's Tax Return,Reklame sou deklarasyon taks yon lòt moun,Заявлено в чужой налоговой декларации,在其他人的报税表上进行了申报,누군가 다른 사람의 세금 신고서에 신청된,Được Kê Khai trên Tờ Khai Thuế Của Người Khác,Reclamado en la declaración de impuestos de alguien más,已在他人的報稅表上申領
children.h2.fileJointConfirmTT,Joint Return with Another Person Exception,Eksepsyon deklarasyon kolektif ak yon lòt moun,Совместная налоговая декларация с другим лицом Исключение,与他人联合申报的例外,다른 사람과 함께 공동 신고 예외,Trường Hợp Ngoại Lệ Khai Thuế Chung với Một Người Khác,Excepción de la declaración conjunta con otra persona,與他人共同報稅表的例外情形
children.h2.fileJointTT,Joint Return with Another Person,deklarasyon kolektif ak yon lòt moun,Совместная налоговая декларация с другим лицом,与他人联合申报的,다른 사람과 함께 공동 신고 ,Khai Thuế Chung với Một Người Khác,Declaración conjunta con otra persona,與他人共同報稅表
children.h2.finalNoQcTitle,"Based on your inputs, you do not have a qualifying child for the Earned income Credit.","Dapre enfòmasyon ou mete yo, ou pa gen yon timoun ki kalifye pou Kredi sou Lajan Moun Rantre a.","На основании предоставленных вами сведений, у вас отсутствует ребенок, соответствующий тебованиям для оформления налогового зачета за заработанный доход.",根据您输入的信息，您没有符合条件的子女来申请劳动所得税抵免。,"귀하의 입력에 따르면, 귀하는 소득 공제에 대한 적격 자녀가 없습니다.","Dựa trên thông tin đầu vào của của quý vị, quý vị không có trẻ đủ điều kiện để nhận Tín Thuế Thu Nhập Kiếm Được.","Según la información ingresada, no tiene un hijo calificado para el crédito por ingreso del trabajo.",根據您填入的內容，您沒有符合勞動所得稅務優惠資格的子女。
children.h2.finalNoQcTitle2,"Based on your inputs, you don't have any qualifying children.","Dapre sa w antre, ou pa gen okenn timoun ki kalifye.","Согласно вашим данным, у вас нет детей, отвечающих требованиям.",根据您提供的信息，您没有任何符合条件的子女。,입력한 정보에 따르면 적격 자녀가 없습니다.,"Dựa trên thông tin đầu vào của quý vị, quý vị không có trẻ nào đủ điều kiện.","Según la información ingresada, no tiene hijos calificados.",根據您的輸入，您沒有任何符合資格的子女。
children.h2.live51PctTT1,Lived with You,Ap viv avèk ou,Жил с вами,与您共同生活,귀하와 함께 사는,Sống cùng Quý Vị,Vivió con usted,曾與您同住
children.h2.live51PctTT2,Birth or Death of a Child,Nesans oubyen lanmò yon timoun,Рождение или смерть ребенка,子女出生或夭折,자녀의 탄생 혹은 죽음,Sự Ra Đời hoặc Qua Đời Của Một Đứa Trẻ,Nacimiento o fallecimiento de un hijo,子女的出生或死亡
children.h2.live51PctTT3,Temporary Absence,Absans tanporè,Временное отсутствие,临时缺席,일시적 부재,Vắng Mặt Tạm Thời,Ausencia temporal,暫時缺席
children.h2.live51PctTT4,Adopted and Foster Children,Timoun yo adopte ak timoun yo plase nan fanmi akèy,Усыновленные и приемные дети,收养和寄养子女,입양 자녀 및 위탁 자녀,Con Nuôi Chính thức và Con Nuôi Tạm,Hijos adoptados o de crianza,領養和寄養子女
children.h2.permanentlyDisabledTT,Permanently and Totally Disabled,Envalidite definitif e total,Постоянная и полная инвалидность,永久、完全残障,영구적이며 완전한 장애,Bị Tàn Tật Toàn Phần Và Vĩnh Viễn,Incapacitado permanente y totalmente,永久和完全殘疾
children.h2.relationshipTT1,Stepchild,Bèlfi,Пасынок или падчерица,继子女,의붓 자녀,Con Riêng Của Vợ/Chồng,Hijastro,繼子女
children.h2.relationshipTT2,Adopted Child,Timoun adopte,Приемный ребенок,领养子女,입양 자녀,Con Nuôi Chính Thức,Hijo adoptivo,領養子女
children.h2.relationshipTT3,Foster Child,Timoun adopte,Переданный на воспитание ребенок,寄养子女,위탁 자녀,Con Nuôi Tạm,Hijo de crianza,寄養子女
children.h2.relationshipTT4,Authorized placement agency,Ajans plasman apwouve,Уполномоченное агентство по трудоустройству,授权安置机构,승인 위탁 기관,Cơ quan sắp xếp được ủy quyền,Agencia de adoptciones autorizada,授權的安置機構
children.h2.studentTT1,Full-time Student,Etidyan aplentan,Студент-очник,全日制学生,전일제 학생,Học Sinh/Sinh Viên Toàn Thời Gian,Estudiante a tiempo completo,全日制學生
children.h2.studentTT2,School Defined,Lekòl defini,Школа определена,学校定义,학교 정의,Định Nghĩa Trường Học,Definición de escuela,學校定義
children.h2.us50PercentTT1,Main Home in the United States,Rezidans prensipal Ozetazini,Основной дом в США,主要居所位于美国,미국에 주거지,Nhà Chính ở Hoa Kỳ,Hogar principal en los Estados Unidos,美國的主要住宅
children.h2.us50PercentTT2,Military Personnel Stationed Outside the United States,Pèsonèl Militè Estasyone Andeyò Lèzetazini,"Военнослужащие, находящиеся за пределами США",驻扎在美国境外的军事人员,미국 외로 배치된 군인력,Quân Nhân Đóng Quân Bên Ngoài Hoa Kỳ,Personal militar destacado fuera de los Estados Unidos,駐紮在美國境外的從軍人士
children.h2.youngerSpouseTT,Child Must be Younger Than You or Your Spouse,Timoun Nan Dwe Pi Piti Pase Ou Ak Konjwen w,Ребенок должен быть младше вас или вашего супруга (супруги),孩子必须比您或您的配偶年龄小,자녀는 반드시 귀하와 귀하의 배우자보다 어려야 합니다.,Trẻ Phải Nhỏ Tuổi Hơn Quý Vị hoặc Người Phối Ngẫu Của Quý Vị,El hijo tiene que ser menor que usted o su cónyuge,子女必須比您或您的配偶小
children.h2.youngerTT,Child Must be Younger Than You,Timoun Nan Dwe Pi Piti Pase Ou,Ребенок должен быть младше вас,孩子必须比您年龄小,자녀는 반드시 귀하보다 어려야 합니다.,Trẻ Phải Nhỏ Tuổi Hơn Quý Vị,El hijo tiene que ser menor que usted,子女一定比您小
children.h3.finalBlockTitle,"Based on your inputs, you have :num qualifying children with valid Social Security numbers.","Dapre sa w antre, ou gen :num timoun ki kalifye ak nimewo Sekirite Sosyal ki valab.","Согласно вашим данным, у вас есть :num детей, соответствующих установленным требованиям, с действительными номерами социального страхования.",根据您的输入，您有 :num 个具有有效社会保障号码的合格子女。,"입력한 내용에 따르면, 유효한 사회 보장 번호를 가진 적격 자녀 수는 :num명입니다.","Dựa trên thông tin đầu vào của quý vị, quý vị có :num trẻ đủ điều kiện với số An Sinh Xã Hội hợp lệ.","Según sus datos, tiene :num hijos calificados con números de Seguro Social válidos.",根據您的輸入，您有 :num 名具有有效社會安全號碼的合格子女。
children.h3.finalBlockTitleSingle,"Based on your inputs, you have :num qualifying child with a valid Social Security number.","Dapre sa w antre, ou gen :num timoun ki kalifye ak yon nimewo Sekirite Sosyal valab.","Согласно вашим данным, у вас есть :num один ребенок с действующим номером социального страхования.",根据您的输入，您有 :num 符合条件的子女，并有一个有效的社会保障号码。,"입력한 내용에 따르면, 유효한 사회 보장 번호를 가진 적격 자녀 수는 :num명입니다.","Dựa trên thông tin đầu vào của quý vị, quý vị có :num trẻ đủ điều kiện với số An Sinh Xã Hội hợp lệ.","Según sus datos, tiene :num hijo calificado con un Número de Seguro Social válido.",根據您的輸入，您有 :num 名符合資格且擁有有效社會安全號碼的子女。
children.label.children,Qualifying Children,Timoun Kalifye,Отвечающие требованиям дети,符合条件的子女,적격 자녀,Trẻ Đủ Điều Kiện,Hijos que reúnen los requisitos,符合資格的子女
children.label.forRefundOnly,,Pou ranbousman sèlman,Только в целях возмещения,仅用于退税,환급 전용,Chỉ đối với tiền hoàn thuế,Solo para reembolsos,僅限退稅款
children.label.forReturnOnly,For return only,Pou deklarasyon sèlman,Только для деклараций,仅适用于退税,신고서의 경우만,Chỉ dành cho tờ khai thuế,Solo para la declaración,僅限報稅表
children.label.relationship1,"Child, stepchild, adopted child, or foster child","Timoun, bofi, timoun adopte oubyen timoun adoptif","Ребенок, пасынок/падчерица, приемный или переданный на воспитание ребенок",孩子、继子女、领养子女或寄养子女,"자녀, 의붓자녀, 입양자녀 혹은 위탁 자녀","Con, con riêng của vợ/chồng, con nuôi chính thức, hoặc con nuôi tạm","Hijo, hija, hijastro, hijastra, hijo adoptivo, hija adoptiva o hijo o hija de crianza ",子女、繼子女、領養子女或寄養子女
children.label.relationship2,"Sibling, half-sibling, or stepsibling","Frè, demi frè oubyen demi frè",Родные братья и сестры или сводные братья и сестры,兄弟姐妹、半同胞或继兄弟姐妹,"형재자매, 이복 형제자매, 혹은 의붓 형제 자매 ","Anh chị em ruột, anh chị em cùng cha khác mẹ hay cùng mẹ khác cha hoặc anh chị em kế","Hermano, hermana, medio hermano, media hermana o hermanastro o hermanastra",兄弟姐妹、同父異母（或同母異父）的兄弟姐妹或繼兄弟姐妹
children.label.relationship3,"Grandchild, niece or nephew "," Pitit pitit, nyès oubyen neve","Внук, племянница или племянник ",孙辈、侄亲 ,"손자손녀, 조카","Các cháu nội/ngoại, các cháu là con của anh/chị/em ","Nieto, nieta, sobrina o sorbino ",孫子女、侄女或侄子 
children.label.relationship4,None of the above,Okenn nan repons sa yo,Ничего из вышеперечисленного,以上都不是,위에 해당 사항 없음,Không điều nào kể trên,Ninguna de las opciones anteriores,以上皆非
children.label.toGetCredits,To get credits,Pou jwenn kredi,Для получения зачетов,要获取抵免,공제를 받기 위해,Để nhận tín thuế,Para recibir los créditos,獲取稅務優惠
children.label.us50Percent,Was your home in the U.S. more than half of :year?,Te abite Ozetazini pandan plis pase mwatye lane :year?,Находились ли вы дома в США более половины :year?,您在 :year 是否有超过一半的时间居住于美国？,귀하의 미국 거주지는 :year년에 반년 이상 이었습니까?,Nhà của quý vị có ở Hoa Kỳ trong hơn nửa :year không?,¿Su hogar estuvo en los Estados Unidos durante más de la mitad del año :year?,您在 :year 年期間有在美國居住有超過半年的時間嗎？
children.legend.age,How old was the :child at the end of :year?,Ki laj :child te genyen nan fen ane :year?,Сколько лет было :child в конце :year?,到 :year 年底，这个 :child 有多大？,해당 :child는 :year년 말에 몇살인가요?,:child bao nhiêu tuổi tại thời điểm cuối :year?,¿Cuántos años tenía este :child al final del año :child?,:child 在 :year 年年底時幾歲？
children.legend.claimOther,Select each child who can be claimed for the EITC on someone else's tax return:,Seleksyone chak timoun ki ka reklame pou EITC nan deklarasyon taks yon lòt moun:,"Выберите каждого ребенка, который может быть заявлен на получение EITC в налоговой декларации другого лица:",选择可以在其他人的报税表上进行 EITC 申报的子女：,다른 사람의 세금 신고서에 EITC를 위해 신청한 각 자녀를 선택하세요:,Chọn từng trẻ mà có thể được kê khai để yêu cầu EITC trên tờ khai thuế của người khác:,Seleccione a cada hijo que puede reclamarse para el crédito tributario por ingreso del trabajo (EITC) en la declaración de impuestos de alguien más:,選擇每個可以在其他人的報稅表上被申領 EITC 的子女：
children.legend.claimOtherConfirm,Any dependent(s) also claimed on someone else's tax return may not be eligible to be claimed by you for EITC. Select the children you still wish to claim:,Nenpòt depandan ki fè reklamasyon tou nan deklarasyon taks yon lòt moun ka pa elijib pou ou reklame pou EITC a. Seleksyone timoun ou toujou vle reklame yo:,"Иждивенец(цы), заявленный(ые) в налоговой декларации другого лица, не может быть заявлен(ы) вами для получения EITC. Выберите детей, на которых вы желаете подать заявление:",在其他人的报税表上进行了申报的受抚养人不能由您进行 EITC 申请。选择您依然希望进行申报的子女：,또한 다른 사람의 세금 신고서에 신청된 부양가족은 EITC를 위해 귀하에 의해 신청하기에 적격이 아닙니다. 귀하가 여전히 신청하고자 하는 자녀를 선택하세요.,Bất kỳ (những) người phụ thuộc nào được kê khai trên tờ khai thuế của người khác có thể không đủ điều kiện để được quý vị kê khai nhằm yêu cầu EITC. Chọn những đứa trẻ mà quý vị vẫn muốn kê khai:,Es posible que cualquier persona dependiente que también se reclama en la declaración de impuestos de alguien más no sea elegible para que usted la reclame para el crédito tributario por ingreso del trabajo (EITC). Seleccione el hijo que usted todavía desea reclamar:,任何在其他人的報稅表中也申報的被撫養人可能沒有資格被您申領 EITC。選擇您仍想申領的子女：
children.legend.claimOtherConfirmChildNumber,You might not be able to claim a child for the EITC if they are also claimed by certain eligible people. Do you still want to claim the :child?,Ou gendwa pa kapab reklame yon timoun pou EITC si sèten moun elijib reklame l tou. Èske ou toujou vle reklame :child a?,"Вы не можете претендовать на получение EITC на ребенка, если на него также претендуют определенные лица, имеющие на это право. Вы все еще хотите претендовать на :child?",如果某名子女被其他符合条件的个人申报，则您可能无法为其进行 EITC 申报。您依然想要为这个 :child 进行 EITC 申报吗？,특정 적격자에 의해 신청되었다면 해당 자녀는 귀하가 EITC를 위해 신청할 수가 없습니다. 여전히 해당 :child를 신청하기를 원하십니까?,Quý vị không thể kê khai một đứa trẻ để nhận EITC nếu chúng cũng được kê khai bởi một số người đủ điều kiện khác. Quý vị vẫn muốn kê khai :child chứ?,Es posible que no pueda reclamar a un hijo para el crédito tributario por ingreso del trabajo (EITC) si ciertas personas elegibles también lo reclaman. ¿Aún desea reclamar a :child?,如果特定符合資格的人也申領了該名子女，您可能無法申領 EITC。你還想申領 :child 嗎？
children.legend.fileJoint,Select each child who is married and will file a joint return with his or her spouse for :year:, Seleksyone chak timoun ki marye e k ap ranpli yon deklarasyon kolektif ak konjwen yo pou :year:,"Выберите каждого ребенка, который состоит в браке и будет подавать совместную декларацию со своим супругом или супругой в течение :year:",选择一结婚，并且会与其配偶就 :year 的所得进行联合申报的子女：,:year년에 결혼하였으며 자신의 배우자와 자신이 공동신고를 한 각각 자녀를 선택하세요.,Chọn từng đứa trẻ đã kết hôn và sẽ khai thuế chung với người phối ngẫu của mình cho :year:,Seleccione cada hijo que está casado y presentará una declaración conjunta con su cónyuge para el año :year:,選擇每名已結婚並且在 :year 年將與他或她的配偶共同申報的子女:
children.legend.live51Pct,Select each child that lived with you more than half of :year in the United States:,Seleksyone chak timoun ki t abite ak ou pou plis pase mwatye :year la Ozetazini:,"Выберите каждого ребенка, который прожил с вами более половины :year в США:",选择与您于 :year 在美国共同生活超过一半时间的子女：,미국에서 :year에 반년 이상 함께 살았던 자녀를 선택하세요.,Chọn từng đứa trẻ đã sống với quý vị trong hơn nửa :year ở Hoa Kỳ:,Seleccione cada hijo que vivió con usted durante más de la mitad del año :year en los Estados Unidos:,選擇每名在 :year 年與您在美國同住超過半年的子女：
children.legend.permanentlyDisabled,Select each child who is permanently and totally disabled:,Seleksyone chak timoun ki andikape definitivman e totalman:,"Выберите каждого ребенка, который постоянно и полностью лишен трудоспособности:",选择永久、完全残障的子女：,영구적이며 완전한 장애가 있는 자녀를 선택하세요.,Chọn từng trẻ bị tàn tật toàn phần và vĩnh viễn:,Seleccione cada hijo que está incapacitado permanente y totalmente,選擇每名永久和完全殘疾的子女：
children.legend.relationship,Select your :child's relationship to you:, Seleksyone relasyon ou ak :child's ou:,Выберите отношения вашего :child с вами:,选择您的 :child's 与您的关系：,:child's 와 귀하의 관계를 선택하세요.,Chọn mối quan hệ của :child với quý vị:,Seleccione el parentesco de :child's con usted:,選擇您的 :child's 與您的關係：
children.legend.student,Was the :child a full-time student during some part of each of any 5 calendar months during :year?,Èske :child on etidyan aplentan pou yon pati nan chak nan 5 mwa kalandriye yo pandan :year?,Был ли :child  студентом очной формы обучения в течение некоторой части каждого из 5 календарных месяцев в течение :year?,这个 :child 在 :year 的任何 5 个月的部分时间内是否为全日制学生？,:child 가 :year년에 각 5역월에 일부 기간동안  전일제 학생이었습니까?,":child có phải là học sinh, học sinh/sinh viên toàn thời gian trong một khoảng thời gian cho mỗi tháng của 5 tháng theo niên lịch bất kỳ trong :year không?",¿:child fue un estudiante a tiempo completo durante alguna parte de cualquier período de 5 meses durante el año :year?,該名 :child 在 :year 中的任何某 5 個月中是全日制學生嗎？
children.legend.younger,Is the :child younger than you?, Èske :child pi piti pase ou?,:child младше вас?,这一 :child 是否比您年龄小？,귀하보다 어린 :child가 있습니까?,:child có ít tuổi hơn quý vị không?,¿:child es más joven que usted?,:child 的年紀比您輕嗎？
children.legend.youngerSpouse,Is the :child younger than you or your spouse?,Èske :child pi piti pase ou menm ak konjwenn ou?,Является ли :child моложе вас или вашего супруга/супруги?,这一 :child 是否比您或您的配偶年龄小？,귀하 혹은 귀하의 배우자보다 어린 :child가 있습니까?,:child có ít tuổi hơn quý vị hoặc người phối ngẫu của quý vị không?,¿:child es más joven que usted o su cónyuge?,:child 的年紀比您或您的配偶輕嗎？
children.li.live51PctTT1,Illness or hospitalization,Malad oubyen entène lopital,Болезнь или госпитализация,生病或住院,질병 혹은 입원,Bệnh tật hoặc nhập viện,Enfermedad y hospitalización,生病或住院
children.li.live51PctTT2,"School attendance, vacation, business or military service","Ale lekòl, vakans, travay, oubyen sèvis militè","Посещение школы, отпуск, бизнес или служба в армии",上学、度假、业务服务或服兵役,"학교 출석, 방학, 사업 혹은 군서비스","Đến trường, kỳ nghỉ, kinh doanh hoặc nghĩa vụ quân sự","Asistencia a la escuela, vaciones, negocio o servicio militar",上學、假期、商務或服兵役
children.li.live51PctTT3,Detention in a juvenile facility,Detansyon nan yon enstitisyon pou minè,Содержание в исправительном учреждении для несовершеннолетних,少管所扣押,소년 교도시설에 구류,Giam giữ tại cơ sở dành cho vị thành niên,Detención en una institución penitenciaria para jóvenes,少年拘留所
children.li.live51PctTT4,Kidnapped child,timoun kidnape,Похищенный ребенок,被绑架的子女,유괴당한 아이,Trẻ bị bắt cóc,Hijo secuestrado,被綁架的子女
children.li.permanentlyDisabledTT1,"The child can't perform significant duties over a reasonable period of time while working for pay or profit in a competitive work situation for at least the minimum wage because of a physical or mental condition, and","Timoun nan pa ka travay anpil pandan yon peryòd tan rezonab pandan l ap travay pou psalè oubyen pou pwofi nan yon sitiyasyon travay konpetitif pou omwen salè minimòm akòz yon kondisyon fizik oubyen mantal, epi","Ребенок не может выполнять значительные обязанности в течение определенного периода времени, работая за плату или прибыль в конкурентной рабочей ситуации за минимальную заработную плату из-за физического или психического состояния, и",在竞争性工作环境中，由于身体或精神状况，孩子无法在合理的时间内以最低工资为报酬或营利工作，并且,자녀는 육체적 정신적 질병으로 최소 급여 이상을 경쟁적 작업 환경에서 급여 혹은 이윤을 위해 일하는 타당한 기간 이상 유의미한 의무를 이행할 수 없습니다.,"Trẻ không thể thực hiện các nhiệm vụ quan trọng trong một khoảng thời gian hợp lý trong khi làm việc để được trả công hoặc lợi nhuận trong một môi trường công việc cạnh tranh cho ít nhất là mức lương tối thiểu do tình trạng thể chất hoặc tinh thần, đồng thời","El hijo no puede realizar tareas significativas durante un período de tiempo razonable mientras trabaja por una paga o ganancia en una situación laboral competitiva por, al menos, el sueldo mínimo debido a una enfermedad física o mental, y",由於身體或精神狀況，子女不能在合理的時間內履行重要職責，同時在競爭激烈的工作環境中以至少最低工資為報酬或利潤工作，並且
children.li.permanentlyDisabledTT2,A physician determines the condition has lasted or can be expected to last continuously for at least a year or can lead to death,Yon doktè detèmine kondisyon an te dire oubyen n ka espere l ap dire kontinyèlman pou omwen yon ane oubyen ka lakòz lanmò.,"Врач определяет, что состояние длится или, как можно ожидать, будет продолжаться не менее года или может привести к смерти",医生确定病情已持续或可能持续至少一年，或可能导致死亡,이 질병이 지속되면 적어도 1년 이상 지속될 수 있다고 기대할 수 있으며 죽음에 이를 수도 있다고 의사가 결정합니다.,Bác sĩ xác định tình trạng này đã kéo dài hoặc có thể kéo dài liên tục trong ít nhất một năm hoặc có thể dẫn đến tử vong,Un médico determina que la enfermedad ha durado o puede durar de forma continuada durante al menos un año o que puede causar la muerte,醫生確定病情已經持續或預計會持續至少一年或可能導致死亡
children.li.studentTT1,Elementary school,Lekòl primè,Начальная школа,小学,초등학교,Trường tiểu học,Escuela primaria,小學
children.li.studentTT2,Junior or senior high school,Elemantè oubyen lekòl segondè,Младшая или старшая средняя школа,初中或高中,중학교 혹은 고등학교,Trường trung học đệ nhất cấp hoặc trung học đệ nhị cấp,Escuela media o secundaria,國中或高中
children.li.studentTT3,College or university,kolèj oubyen inivèsite,Колледж или университет,学院或大学,전문 대학 및 대학,Trường đại học hoặc cao đẳng,Instituto superior o universidad,學院或大學
children.li.studentTT4,"Technical, trade, or mechanical school","Lekòl teknik, komèsyal oubyen mekanik","Техническая, торговая или механическая школа",技术、贸易或机械学校,"기술, 무역, 기계 학교","Trường kỹ thuật, thương mại hoặc cơ khí","Escuela técnica, de oficios o mecánica",技術、貿易或機械學校
children.li.studentTT5,On-the-job training course,Fòmasyon nan travay la,Курс обучения на рабочих местах,在职培训课程,실습 훈련 과정,Lớp huấn luyện thực hành ngay trên công việc đương nhiệm,Curso de capacitación en el trabajo,在職培訓課程
children.li.studentTT6,Correspondence school,Lekòl pa korespondans,Заочная школа,函授学校,방송 통신 대학,Trường học hàm thụ,Educación a distancia,函授學校
children.li.studentTT7,School offering courses only through the Internet,Lekòl la ofri kou sèlman apati Entènèt,"Школа, предлагающая курсы только через Интернет",仅通过互联网授课的学校,인터넷을 통해서만 과정을 제공하는 학교,Trường chỉ cung cấp các khóa học qua Internet,Escuela que ofrece cursos solo a través de Internet,僅透過網路提供課程的學校
children.p.claimOtherConfirmTT1,"Only one person can claim each child for the EITC. If more than one person claims the child, then the IRS applies tiebreaker rules.","Se yon sèl moun ki ka reklame chak timoun pou EITC. Si plis pase yon moun fè reklamasyon pou timoun nan, IRS aplike règ retire yo.","Только один человек может заявить на каждого ребенка для получения EITC. Если на ребенка претендует более одного человека, то IRS применяет решающее правило.",仅一个人可以为一名子女申请 EITC。如果超过一个人为该名子女进行申请，那么 IRS 将适用决胜规则。,오직 한 명만 EITC를 위해 각각의 자녀를 신청할 수 있습니다. 한 명 이상이 해당 자녀를 신청하게 되면 국세청은 우선순위 규칙을 적용합니다.,"Chỉ có một người có thể kê khai từng trẻ để nhận EITC. Nếu có nhiều người kê khai đứa trẻ đó, thì IRS sẽ áp dụng quy tắc tie-breaker.",Solo una persona puede reclamar a cada hijo para el Crédito tributario por ingreso del trabajo.,只有一個人可以為每名子女申領 EITC。如果不止一個人申領子女，那麼美國國稅局將應用決勝局規則。
children.p.claimOtherConfirmTT2,"For more information, see :irsPub519.","Pou plis enfòmasyon, gade :irsPub519.",Более подробную информацию смотрите :irsPub519.,欲了解更多信息，请参阅 :irsPub519。,자세한 정보는  :irsPub519를 확인하세요.,"Để biết thêm thông tin, xem :irsPub519.","Para obtener más información, visite :irsPub519.",如需瞭解更多資訊，請參閱 :irsPub519。
children.p.claimOtherTT1,"Only one person can claim each child for the EITC. If more than one person claims the child, then the IRS applies tiebreaker rules.","Se yon sèl moun ki ka reklame chak timoun pou EITC. Si plis pase yon moun fè reklamasyon pou timoun nan, IRS aplike règ retire yo.","Только один человек может заявить на каждого ребенка для получения EITC. Если на ребенка претендует более одного человека, то IRS применяет решающее правило.",仅一个人可以为一名子女申请 EITC。如果超过一个人为该名子女进行申请，那么 IRS 将适用决胜规则。,오직 한 명만 EITC를 위해 각각의 자녀를 신청할 수 있습니다. 한 명 이상이 해당 자녀를 신청하게 되면 국세청은 우선순위 규칙을 적용합니다.,"Chỉ có một người có thể kê khai từng trẻ để nhận EITC. Nếu có nhiều người kê khai đứa trẻ đó, thì IRS sẽ áp dụng quy tắc tie-breaker.",Solo una persona puede reclamar a cada hijo para el Crédito tributario por ingreso del trabajo.,只有一個人可以為每名子女申領 EITC。如果不止一個人申領子女，那麼美國國稅局將應用決勝局規則。
children.p.claimOtherTT2,"For more information, see :irsPub519, Earned Income Credit, Your Qualifying Child Cannot Be Used By More Than One Person.","Pou plis enfòmasyon, gade :irsPub519.",Более подробную информацию смотрите :irsPub519.,欲了解更多信息，请参阅 :irsPub519。,자세한 정보는  :irsPub519를 확인하세요.,"Để biết thêm thông tin, xem :irsPub519.","Para obtener más información, visite :irsPub519.",如需瞭解更多資訊，請參閱 :irsPub519。
